patrimonio;ip;tipo;local;idEscolaComp
124975;192.168.50.211;PC;SALA DE AULA;159
124904;192.168.50.208;PC;SALA DE AULA;159
134070;192.168.27.70;PC;LAB;161
134069;192.168.27.69;PC;LAB;161
134068;192.168.27.68;PC;LAB;161
134067;192.168.27.221;PC;SALA DE AULA;161
134066;192.168.27.66;PC;LAB;161
134065;192.168.27.65;PC;LAB;161
134064;192.168.27.64;PC;LAB;161
134062;192.168.27.62;PC;LAB;161
134061;192.168.27.60;PC;LAB;161
134060;192.168.27.219;PC;SALA DE AULA;161
134059;192.168.27.59;PC;LAB;161
134058;192.168.27.58;PC;LAB;161
134057;;PC;LAB;161
134056;192.168.27.56;PC;LAB;161
134055;192.168.27.55;PC;LAB;161
129971;192.168.27.36;PC;LAB;161
129970;192.168.27.32;PC;LAB;161
129969;192.168.27.74;PC;LAB;161
129968;192.168.27.77;PC;LAB;161
129967;192.168.27.31;PC;LAB;161
129966;192.168.27.220;PC;SALA DE AULA;161
129965;192.168.27.27;PC;LAB;161
129964;192.168.27.79;PC;LAB;161
129963;192.168.27.35;PC;LAB;161
129962;192.168.27.73;PC;LAB;161
129961;192.168.27.34;PC;LAB;161
129960;192.168.27.75;PC;LAB;161
129959;192.168.27.30;PC;LAB;161
129958;192.168.27.78;PC;LAB;161
129957;192.168.27.33;PC;LAB;161
125736;192.168.27.209;PC;SALA DE AULA;161
125734;192.168.27.210;PC;SALA DE AULA;161
125733;;PC;LAB;161
125732;192.168.27.201;PC;SALA DE AULA;161
125730;192.168.27.24;PC;SECRETARIA;161
125727;192.168.27.29;PC;COORDENA?ÄO;161
125726;192.168.27.23;PC;SECRETARIA;161
125725;192.168.27.21;PC;SECRETARIA;161
125724;192.168.27.22;PC;SECRETARIA;161
125723;192.168.27.202;PC;SALA DE AULA;161
125722;192.168.27.28;PC;COORDENA?ÄO;161
125721;192.168.27.26;PC;DIRE?ÄO;161
125720;192.168.27.25;PC;DIRE?ÄO;161
125719;;PC;LAB;161
125718;192.168.27.206;PC;SALA DE AULA;161
125717;192.168.27.150;PC;PROFESSORES;161
125716;;PC;LAB;161
125715;192.168.27.204;PC;SALA DE AULA;161
125713;192.168.27.207;PC;SALA DE AULA;161
129837;192.168.104.100;PC;LAB;160
129838;192.168.104.101;PC;LAB;160
129839;192.168.104.102;PC;LAB;160
129840;192.168.104.103;PC;LAB;160
129842;192.168.104.104;PC;LAB;160
129841;192.168.104.105;PC;LAB;160
129847;192.168.104.106;PC;LAB;160
129947;192.168.104.107;PC;LAB;160
